Sucursal,Lat,Lon
Tepeyac,19.46727323,-99.11176253
Lindavista,19.49832321,-99.15586272
Alameda,19.43437796,-99.14354186
Viaducto,19.4063913,-99.10655826
Circuito,19.46015676,-99.16135132
Anzures Polanco,19.43483151,-99.17252623
Mexico Tacuba,19.45553418,-99.17848416
Churubusco,19.38025285,-99.08541774
Gustavo Baz,19.54625952,-99.20418589
Roma,19.40451396,-99.15078823
Parques Polanco,19.44038742,-99.18400166
Polanco,19.44096849,-99.19158024
Tlalpan 949,19.38552702,-99.13975497
Toreo,19.45444426,-99.22030895
Periferico,19.39295651,-99.18898375
San Antonio,19.38435283,-99.19512994
Del Valle,19.36447789,-99.16657913
Revolucion,19.37045262,-99.18796463
Tlalpan Coapa,19.31792898,-99.1376009
Universidad,19.34135101,-99.1825131
Vasco de Quiroga,19.37989324,-99.24421752
Santa Fe,19.38012609,-99.24660644
Iman,19.30757693,-99.16350534
Interlomas,19.4073074,-99.27625025
Cuajimalpa,19.3648056,-99.27399877
Lerma,19.28242409,-99.48188045
Puebla,19.03664088,-98.25153444
Queretaro,20.58573185,-100.3810941
Acapulco,16.76672186,-99.76387425
Paseo Interlomas,19.39847926,-99.28410583
