"SUCURSAL","RAZON SOCIAL","FECHA CONSULTA","ID BODEGA","BODEGA","ESTATUS","FRENTE","FONDO","TAMANO","NIVEL","TIPO","DESCRIPCION","CARACTERISTICA","FORMA","OTRO","FECHA RENT RATE","RENT RATE","RR M2","STREET RATE","SR M2",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871080","A001","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","8/1/2022 12:00:00 AM","455.70","227.85","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871081","A002","Rented","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","2/10/2022 12:00:00 AM","300","150","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871082","A003","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","5/1/2022 12:00:00 AM","455.80","227.90","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871083","A004","Rented","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","6/1/2022 12:00:00 AM","387.43","193.72","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871084","A005","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","2/1/2022 12:00:00 AM","448.95","224.48","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871085","A006","Rented","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","2/10/2022 12:00:00 AM","300","150","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871086","A007","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","3/1/2022 12:00:00 AM","448.95","224.48","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871087","A008","Available","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","9/21/2022 12:00:00 AM","240","120","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871088","A009","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","2/1/2022 12:00:00 AM","1099.41","549.71","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871089","A010","Available","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","9/21/2022 12:00:00 AM","240","120","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871090","A011","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","2/1/2022 12:00:00 AM","1099.41","549.71","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871091","A012","Rented","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","2/10/2022 12:00:00 AM","300","150","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871092","A013","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","9/21/2022 12:00:00 AM","440","220","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871093","A014","Available","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","9/21/2022 12:00:00 AM","240","120","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871094","A015","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","9/6/2022 12:00:00 AM","380","190","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871095","A016","Rented","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","5/1/2022 12:00:00 AM","448.95","224.48","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871096","A017","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","9/1/2022 12:00:00 AM","625.79","312.90","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871097","A018","Rented","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","2/10/2022 12:00:00 AM","300","150","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871098","A019","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","7/6/2021 12:00:00 AM","420","210","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871099","A020","Available","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","9/21/2022 12:00:00 AM","240","120","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871100","A021","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","8/29/2022 12:00:00 AM","400","200","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871101","A022","Available","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","9/21/2022 12:00:00 AM","240","120","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871102","A023","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","1/1/2022 12:00:00 AM","531.64","265.82","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871103","A024","Available","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","9/21/2022 12:00:00 AM","240","120","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871104","A025","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","2/10/2022 12:00:00 AM","380","190","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871105","A026","Rented","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","2/10/2022 12:00:00 AM","300","150","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870888","A027","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","6/29/2022 12:00:00 AM","400","200","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870889","A028","Available","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","9/21/2022 12:00:00 AM","240","120","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870890","A029","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","2/10/2022 12:00:00 AM","380","190","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870891","A030","Available","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","9/21/2022 12:00:00 AM","240","120","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870892","A031","Rented","2","1","2","PLANTA BAJA","LOCKER ARRIBA","A","","","","6/29/2022 12:00:00 AM","400","200","440","220",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870893","A032","Available","2","1","2","PLANTA BAJA","LOCKER ABAJO","A","","","","9/21/2022 12:00:00 AM","240","120","240","120",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870894","A033","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","1/1/2022 12:00:00 AM","514.65","257.33","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870895","A034","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","5/1/2022 12:00:00 AM","518.15","259.08","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870896","A035","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","2/10/2022 12:00:00 AM","502","251","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870897","A036","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","2/1/2022 12:00:00 AM","787.91","393.96","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870898","A037","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","2/10/2022 12:00:00 AM","502","251","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870899","A038","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","1/1/2022 12:00:00 AM","505.25","252.63","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870900","A039","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","2/10/2022 12:00:00 AM","502","251","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870901","A040","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","7/12/2022 12:00:00 AM","502","251","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870902","A041","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","6/1/2022 12:00:00 AM","513.16","256.58","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870903","A042","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","10/30/2021 12:00:00 AM","518","259","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870904","A043","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","5/1/2022 12:00:00 AM","706.49","353.25","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870905","A044","Other","2","1","2","PLANTA BAJA","Down/In","A","","","","8/30/2022 12:00:00 AM","502","251","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870906","A045","Other","2","1","2","PLANTA BAJA","Down/In","A","","","","8/30/2022 12:00:00 AM","502","251","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870907","A046","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","3/1/2022 12:00:00 AM","731.43","365.72","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870908","A047","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","10/1/2022 12:00:00 AM","527.48","263.74","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870909","A048","Rented","2","1","2","PLANTA BAJA","Down/In","A","","","","2/10/2022 12:00:00 AM","502","251","502","251",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870910","A049","Reserved","2","2","4","PLANTA BAJA","Down/In","A","","","","2/10/2022 12:00:00 AM","984","246","984","246",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3934493","AX001","Available","12","10","120","PLANTA BAJA","Down/In","B","","","","9/30/2022 12:00:00 AM","13440","112","13440","112",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3955348","AX002","Rented","2","35","70","PLANTA BAJA","Down/In","B","","","","9/21/2022 12:00:00 AM","8120","116","8120","116",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","4211372","AX003","Available","35","21","735","PLANTA BAJA","Down/In","B","","","","9/21/2022 12:00:00 AM","80115","109","80115","109",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","4214092","AX004","Rented","6","30","180","PLANTA BAJA","Down/In","B","","","","2/10/2022 12:00:00 AM","21600","120","19800","110",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3871079","B001","Rented","3","3","9","PLANTA BAJA","Down/In","B","","","","9/1/2022 12:00:00 AM","2452.22","272.47","2250","250",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","4076787","B002","Rented","3","3","9","PLANTA BAJA","Down/In","B, Luz","","","","9/1/2022 12:00:00 AM","2528.87","280.99","2250","250",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870911","E001","Available","5","4.5","22.50","PLANTA BAJA","Vehicular","B","","","","9/21/2022 12:00:00 AM","2025","90","2025","90",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870912","E002","Rented","3","6","18","PLANTA BAJA","Vehicular","B","","","","3/29/2022 12:00:00 AM","3240","180","2880","160",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870913","E003","Rented","3","6","18","PLANTA BAJA","Vehicular","B","","","","9/1/2022 12:00:00 AM","4193.17","232.95","2880","160",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870914","E004","Rented","3","6","18","PLANTA BAJA","Vehicular","B","","","","10/1/2022 12:00:00 AM","3997.89","222.11","2880","160",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870915","E005","Rented","3","6","18","PLANTA BAJA","Vehicular","B","","","","8/1/2022 12:00:00 AM","4659.08","258.84","2880","160",
"Acapulco","Acapulco - Centros de Renta","10/3/2022 12:00:00 AM","3870916","E006","Company Use","3","6","18","PLANTA BAJA","Vehicular","B","","","","7/6/2021 12:00:00 AM","3618","201","2880","160",
