,ClientID,CurrentUnit,NewUnit,NewBranch,CLIENT CODE,BODEGA_x,TAMANO_x,DESCRIPCION_x,RR M2,SUCURSAL,BODEGA_y,TAMANO_y,DESCRIPCION_y,SR M2
0,1003301568,"E020 , E011",C069,Periferico,1003301568,"E020 , E011",8.4,B,379.86,Periferico,C069,12.5,B,331.0
1,1002443136,"E034 , E093",F042,Periferico,1002443136,"E034 , E093",5.5,B,392.58500000000004,Periferico,F042,8.1,A,374.0
0,1004863527,"E041 , E013",N1058,Tepeyac,1004863527,"E041 , E013",10.6,B,388.32500000000005,Tepeyac,N1058,14.8,B,231.0
1,1004195979,"F041 , F040",N3054,Tepeyac,1004195979,"F041 , F040",6.4,B,288.93499999999995,Tepeyac,N3054,9.6,B,237.0
2,1006640730,"F048 , F047",N1012,Tepeyac,1006640730,"F048 , F047",6.4,B,303.5,Tepeyac,N1012,9.6,B,234.0
3,1006585589,"E030 , E094",N3113B,Tepeyac,1006585589,"E030 , E094",5.300000000000001,B,392.5,Tepeyac,N3113B,7.9,B,230.0
0,1006862130,"E080 , E009 , E081",AX027,Roma,1006862130,"E080 , E009 , E081",10.600000000000001,C,421.3333333333333,Roma,AX027,15.4,B,334.0
1,1004281968,"E065 , F061",B030,Roma,1004281968,"E065 , F061",10.6,B,311.21500000000003,Roma,B030,15.0,B,307.0
2,1004455914,"E084 , E021",F037,Roma,1004455914,"E084 , E021",6.300000000000001,C,404.145,Roma,F037,9.0,B,347.0
0,1004632367,"F018 , F022",H143,Tlalpan 949,1004632367,"F018 , F022",6.4,B,305.62,Tlalpan 949,H143,9.0,A,407.0
0,1004661084,"E003 , E006",B148,Tlalpan Coapa,1004661084,"E003 , E006",8.4,A,460.325,Tlalpan Coapa,B148,12.0,B,335.0
1,1006671871,"E025 , E043",D010,Tlalpan Coapa,1006671871,"E025 , E043",7.4,B,431.0,Tlalpan Coapa,D010,10.9,A,309.0
0,1006630671,"F057 , F058",S6039,Iman,1006630671,"F057 , F058",6.4,B,315.0,Iman,S6039,7.0,A,362.0
0,1004409987,"E061 , E067 , E038 , E048 , E037 , F060 , F044 , F043",PB029,Anzures,1004409987,"E061 , E067 , E038 , E048 , E037 , F060 , F044 , F043",30.6,B,306.56375,Anzures,PB029,43.2,"A, Noke",480.0
1,1003994721,"F071 , F073 , F072 , E064",S1014,Anzures,1003994721,"F071 , F073 , F072 , E064",14.9,B,315.4175,Anzures,S1014,22.1,B,357.0
2,1005426517,"E016 , F037 , E022",S1114,Anzures,1005426517,"E016 , F037 , E022",11.9,A,407.66,Anzures,S1114,17.4,C,322.0
3,1005082313,"E035 , E002 , E082",S1105,Anzures,1005082313,"E035 , E002 , E082",10.5,B,413.0,Anzures,S1105,15.7,C,323.0
4,1003524040,"E007 , E068",S1085,Anzures,1003524040,"E007 , E068",8.4,A,420.77,Anzures,S1085,12.6,C,326.0
